,Company/Brand,Stage,Amount,About,Year,Headquarter,Sector,Founded,Investor
0,TheCollegeFever,Early-Stage Funding,250000.0,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018,Bangalore,Media & Entertainment,2018.0,Undisclosed
1,Happy Cow Dairy,Early-Stage Funding,584000.0,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2018,Mumbai,Agriculture,2018.0,Undisclosed
2,MyLoanCare,Mid-Stage Funding,949000.0,Leading Online Loans Marketplace in India,2018,Gurugram,Retail,2018.0,Undisclosed
3,PayMe India,Special Funding Types,2000000.0,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2018,Noida,Financial Services,2018.0,Undisclosed
4,Eunimart,Early-Stage Funding,584000.0,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2018,Hyderabad,IT & Technology,2018.0,Undisclosed
5,Hasura,Early-Stage Funding,1600000.0,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",2018,Bangalore,IT & Technology,2018.0,Undisclosed
6,Tripshelf,Early-Stage Funding,233600.0,Tripshelf is an online market place for holiday packages.,2018,Kalkaji,Retail,2018.0,Undisclosed
7,Hyperdata.IO,Special Funding Types,730000.0,Hyperdata combines advanced machine learning with human intelligence.,2018,Hyderabad,Business Services,2018.0,Undisclosed
8,Freightwalla,Early-Stage Funding,584000.0,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,2018,Mumbai,IT & Technology,2018.0,Undisclosed
9,Microchip Payments,Early-Stage Funding,584000.0,Microchip payments is a mobile-based payment application and point-of-sale device,2018,Bangalore,Financial Services,2018.0,Undisclosed
10,BizCrum Infotech Pvt. Ltd.,Early-Stage Funding,584000.0,Building Transactionary B2B Marketplaces,2018,New Delhi,Consumer Goods,2018.0,Undisclosed
11,Emojifi,Early-Stage Funding,584000.0,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",2018,Bangalore,IT & Technology,2018.0,Undisclosed
12,Flock,Early-Stage Funding,584000.0,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,2018,India,IT & Technology,2018.0,Undisclosed
13,Freshboxx,Early-Stage Funding,584000.0,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",2018,Hubli,Transportation & Logistics,2018.0,Undisclosed
14,Wide Mobility Mechatronics,Early-Stage Funding,584000.0,Wide Mobility Mechatronics is a Private Company limited by Shares,2018,Bangalore,Manufacturing,2018.0,Undisclosed
15,Pitstop,Early-Stage Funding,1460000.0,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2018,Bangalore,Manufacturing,2018.0,Undisclosed
16,Mihuru,Early-Stage Funding,150000.0,Mihuru is an online platform which gives micro loans for air travel .,2018,Mumbai,Travel & Tourism,2018.0,Undisclosed
17,Fyle,Early-Stage Funding,1100000.0,Fyle is an intelligent expense management platform for enterprises.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
18,AppWharf,Early-Stage Funding,584000.0,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,2018,New Delhi,IT & Technology,2018.0,Undisclosed
19,Antariksh Waste Ventures Pvt ltd,Early-Stage Funding,7300.0,Waste Management for Smart Cities,2018,Chennai,Business Services,2018.0,Undisclosed
20,Cogoport,Mid-Stage Funding,6000000.0,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,2018,Mumbai,Transportation & Logistics,2018.0,Undisclosed
21,PaisaDukan,Early-Stage Funding,650000.0,A P2P lending marketplace platform,2018,Mumbai,Business Services,2018.0,Undisclosed
22,Sleepy Owl Coffee,Early-Stage Funding,511000.0,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",2018,New Delhi,Consumer Goods,2018.0,Undisclosed
23,BlueJack,Early-Stage Funding,934400.0,Delhi-based online used vehicles marketplace.,2018,New Delhi,Transportation & Logistics,2018.0,Undisclosed
24,PregBuddy,Early-Stage Funding,584000.0,PregBuddy is a smart connected care platform for expecting mothers.,2018,Bangalore,IT & Technology,2018.0,Undisclosed
25,AgNext Technologies,Mid-Stage Funding,584000.0,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,2018,Mohali,Agriculture,2018.0,Undisclosed
26,Pando,Early-Stage Funding,2000000.0,A startup which digitizes logistics operations for Fortune 500 companies.,2018,Chennai,Business Services,2018.0,Undisclosed
27,Mintifi,Early-Stage Funding,2000000.0,Online lending startup based in Mumbai.,2018,Mumbai,Financial Services,2018.0,Undisclosed
